,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,punta arenas,90,CL,1554255148,93,-53.16,-70.91,42.8,8.05
67,flinders,20,AU,1554255425,47,-34.58,150.85,78.01,8.05
68,dubrovka,0,RU,1554255336,74,59.85,30.93,30.99,2.24
69,victoria,75,BN,1554253200,70,5.28,115.24,86.0,3.36
70,pokhara,0,NP,1554255291,66,28.21,83.99,61.22,2.13
71,okha,56,RU,1554255436,100,53.59,142.95,22.52,11.41
72,port alfred,80,ZA,1554254983,91,-33.59,26.89,63.0,5.01
73,puerto narino,20,CO,1554253200,100,-3.77,-70.38,78.8,2.24
74,ribeira grande,64,PT,1554255148,100,38.52,-28.7,58.61,14.76
75,mount gambier,90,AU,1554253680,93,-37.83,140.78,60.8,12.75
76,port blair,20,IN,1554253200,88,11.67,92.75,77.0,1.12
77,chuy,48,UY,1554255253,84,-33.69,-53.46,71.48,7.16
78,tura,0,IN,1554255445,91,25.52,90.21,67.88,4.03
79,sao joao da barra,8,BR,1554255446,100,-21.64,-41.05,78.68,7.72
80,clyde river,90,CA,1554253380,91,70.47,-68.59,3.2,38.03
81,airai,44,TL,1554255448,66,-8.93,125.41,81.56,1.45
82,ponta delgada,40,PT,1554255444,76,37.73,-25.67,55.4,14.99
83,chifeng,0,CN,1554255452,40,42.27,118.96,54.74,9.4
84,saldanha,0,PT,1554255453,88,41.42,-6.55,37.19,5.03
85,beloha,0,MG,1554255454,84,-25.17,45.06,61.49,3.13
86,ancud,12,CL,1554253200,93,-41.87,-73.83,48.2,3.58
87,koumac,76,NC,1554255457,76,-20.56,164.28,82.55,6.15
88,jamestown,0,AU,1554255458,47,-33.21,138.6,76.07,1.45
89,gigmoto,32,PH,1554255461,91,13.78,124.39,81.92,7.94
90,vila,0,IT,1554255444,70,45.18,8.4,55.0,3.36
91,husavik,24,CA,1554254726,73,50.56,-96.99,25.0,13.22
92,maceio,40,BR,1554253200,88,-9.67,-35.74,77.0,5.82
93,nikolskoye,0,RU,1554255454,74,59.7,30.79,30.99,2.24
94,thompson,90,CA,1554251520,56,55.74,-97.86,12.2,10.29
95,mandalgovi,0,MN,1554255322,72,45.76,106.27,51.5,7.16
96,port hardy,90,CA,1554253200,58,50.7,-127.42,55.4,2.24
97,beringovskiy,88,RU,1554255471,100,63.05,179.32,29.63,19.01
98,chokurdakh,8,RU,1554255157,100,70.62,147.9,16.85,7.61
99,nome,1,US,1554255472,47,30.04,-94.42,61.0,7.27
100,filingue,24,NE,1554255475,51,14.35,3.32,75.35,4.47
101,talara,32,PE,1554255477,72,-4.58,-81.27,74.9,4.92
102,yulara,0,AU,1554253200,16,-25.24,130.99,78.8,13.87
103,new norfolk,75,AU,1554255434,62,-42.78,147.06,59.0,19.46
104,alofi,75,NU,1554253200,65,-19.06,-169.92,82.4,14.99
105,axim,48,GH,1554255483,96,4.87,-2.24,83.63,5.82
106,ponta do sol,0,BR,1554255486,92,-20.63,-46.0,64.1,2.68
107,aykhal,68,RU,1554255487,82,65.95,111.51,28.55,8.72
108,sobolevo,0,RU,1554255488,65,54.43,31.9,21.35,4.03
109,yatou,20,CM,1554253200,88,3.63,9.81,77.0,3.36
110,hami,0,CN,1554255491,48,42.84,93.51,61.94,0.67
111,hay river,75,CA,1554253680,72,60.82,-115.79,14.0,10.29
112,puri,20,ID,1554249600,94,-7.54,112.45,78.8,4.7
113,palmerston,90,CA,1554255229,55,43.83,-80.85,42.01,9.17
114,meulaboh,0,ID,1554255495,100,4.14,96.13,83.45,3.24
115,dikson,64,RU,1554255497,100,73.51,80.55,25.22,17.67
116,bluff,0,AU,1554254972,56,-23.58,149.07,77.25,13.44
117,zhigansk,88,RU,1554255499,84,66.77,123.37,31.88,8.28
118,bambous virieux,20,MU,1554254940,83,-20.34,57.76,77.0,6.15
119,praia,0,BR,1554249600,73,-20.25,-43.81,71.6,6.93
120,arandis,0,NA,1554253341,91,-22.42,14.98,59.0,1.01
121,cherskiy,12,RU,1554255504,76,68.75,161.3,34.13,5.37
122,port lincoln,56,AU,1554254886,83,-34.72,135.86,68.52,7.4
123,sisimiut,76,GL,1554255507,100,66.94,-53.67,21.44,1.9
124,vargem grande,75,BR,1554254999,88,-23.71,-46.2,68.0,3.36
125,vilyuysk,0,RU,1554255510,65,63.75,121.63,35.57,4.92
126,mar del plata,0,AR,1554255511,46,-46.43,-67.52,60.77,18.23
127,ostrovnoy,68,RU,1554255512,90,68.05,39.51,30.53,15.21
128,te anau,0,NZ,1554255514,49,-45.41,167.72,59.6,3.58
129,huarmey,12,PE,1554255431,88,-10.07,-78.15,65.27,2.68
130,vardo,1,US,1554255327,48,39.62,-77.74,45.0,3.36
131,iqaluit,90,CA,1554255122,77,63.75,-68.52,5.0,21.92
132,kamenka,32,RU,1554253713,50,53.19,44.05,36.0,15.66
133,kapaa,20,US,1554255196,57,22.08,-159.32,82.4,18.34
134,ust-koksa,0,RU,1554255521,71,50.27,85.62,40.25,2.46
135,mareeba,75,AU,1554255317,78,-16.99,145.42,82.99,17.22
136,malanje,20,AO,1554255524,88,-9.54,16.35,64.28,2.91
137,esperance,75,TT,1554255307,78,10.24,-61.45,78.8,5.82
138,codrington,90,AU,1554255386,83,-28.95,153.24,77.0,5.14
139,college,75,US,1554255341,55,64.86,-147.8,41.0,11.41
140,hualmay,20,PE,1554255375,94,-11.1,-77.61,65.99,4.36
141,kashirskoye,0,RU,1554253200,55,51.42,39.61,33.8,8.95
142,khatanga,64,RU,1554255531,97,71.98,102.47,18.47,5.93
143,sanford,40,US,1554255418,93,35.48,-79.18,41.0,2.46
144,payson,90,US,1554255328,87,40.04,-111.73,50.0,5.82
145,avera,1,US,1554255328,81,33.19,-82.53,50.0,4.7
146,carbonia,0,IT,1554254400,87,39.17,8.53,55.4,6.93
147,hirara,75,JP,1554253200,88,24.8,125.28,64.4,13.87
148,presidente olegario,8,BR,1554255089,100,-18.42,-46.42,68.0,2.13
149,samarai,20,PG,1554255541,100,-10.62,150.67,82.91,7.72
150,uzunovo,0,BG,1554253200,69,41.84,25.1,37.4,6.93
151,san patricio,92,PY,1554255267,94,-26.98,-56.83,70.85,4.14
152,faanui,44,PF,1554255267,100,-16.48,-151.75,85.16,11.74
153,tandil,0,AR,1554254975,73,-37.33,-59.14,60.01,1.01
154,ninghai,40,CN,1554255507,93,29.29,121.42,57.0,2.24
155,salalah,20,OM,1554252600,78,17.01,54.1,77.0,3.36
156,dingle,8,PH,1554255551,53,11.0,122.67,86.6,12.97
157,half moon bay,90,US,1554255542,87,37.46,-122.43,60.8,12.75
158,praia da vitoria,75,PT,1554254187,76,38.73,-27.07,57.2,15.99
159,tuatapere,0,NZ,1554255007,58,-46.13,167.69,63.0,1.99
160,qaanaaq,0,GL,1554255162,67,77.48,-69.36,-10.33,7.61
161,port elizabeth,90,US,1554255544,70,39.31,-74.98,45.0,11.41
162,arrifes,40,PT,1554255504,76,37.77,-25.7,55.4,14.99
163,neiafu,40,TO,1554253200,69,-18.65,-173.98,82.4,10.29
164,san jeronimo,0,PE,1554255562,94,-13.65,-73.37,40.79,2.91
165,lianran,0,CN,1554255533,76,24.92,102.47,66.0,8.95
166,harper,1,US,1554255316,33,30.3,-99.24,61.0,4.7
167,srednekolymsk,0,RU,1554255565,75,67.46,153.71,29.81,3.13
168,gornyy,92,RU,1554255569,93,51.76,48.54,33.59,21.03
169,uch,92,FR,1554255560,81,45.32,-0.93,46.99,8.05
170,saint george,20,GR,1554252600,81,39.45,22.34,48.2,5.82
171,ulundi,92,ZA,1554255573,97,-28.29,31.43,58.7,2.24
172,novyy urengoy,0,RU,1554255575,82,66.08,76.63,18.83,13.76
173,chaoyang,0,CN,1554255576,41,41.58,120.44,59.87,13.2
174,cidreira,0,BR,1554255577,92,-30.17,-50.22,70.4,4.7
175,carnarvon,24,ZA,1554255387,48,-30.97,22.13,47.99,3.69
176,pecos,1,US,1554252900,11,31.42,-103.49,78.8,4.7
177,ambon,0,FR,1554255574,93,47.55,-2.56,43.0,3.36
178,tasiilaq,92,GL,1554252600,86,65.61,-37.64,28.4,42.5
179,ixtapa,20,MX,1554255323,83,20.71,-105.21,77.0,10.29
180,iquique,0,CL,1554253200,60,-20.22,-70.14,69.8,4.7
181,duluth,1,US,1554255287,50,46.77,-92.13,35.6,13.87
182,hasaki,20,JP,1554255577,36,35.73,140.83,52.0,13.87
183,abu samrah,80,SY,1554255589,93,35.3,37.18,46.55,3.8
184,ilulissat,88,GL,1554252600,75,69.22,-51.1,32.0,25.28
185,along,92,IN,1554255592,96,28.17,94.8,55.19,1.57
186,alyangula,75,AU,1554253380,100,-13.85,136.42,77.0,4.7
187,avarua,0,CK,1554253200,69,-21.21,-159.78,82.4,11.41
188,broome,80,GB,1554255418,100,52.47,1.45,35.6,3.36
189,san luis,0,AR,1554255597,42,-33.3,-66.34,68.96,8.95
190,krasnogorskiy,48,RU,1554255598,98,55.39,83.61,32.6,4.36
191,santa rita do passa quatro,0,BR,1554249600,73,-21.71,-47.48,71.6,4.7
192,mangrol,0,IN,1554253200,40,25.33,76.51,71.6,4.36
193,lixourion,64,GR,1554255499,40,38.2,20.43,57.0,3.0
194,nizhneangarsk,88,RU,1554255603,89,55.78,109.57,26.57,5.26
195,lere,0,TD,1554255605,75,9.66,14.23,74.63,3.91
196,seoul,1,KR,1554253800,45,37.57,126.98,48.2,4.7
197,iskateley,32,RU,1554255609,79,67.68,53.15,22.34,15.32
198,armidale,12,AU,1554255107,60,-30.51,151.67,64.0,8.01
199,biga,40,TR,1554255512,81,40.23,27.24,50.0,16.11
200,amberley,0,NZ,1554255604,44,-43.15,172.73,61.0,4.7
201,erzin,75,TR,1554255331,100,36.95,36.2,54.0,3.36
202,port jervis,1,US,1554255338,56,41.38,-74.69,44.01,3.36
203,lorengau,64,PG,1554255406,95,-2.02,147.27,83.72,11.97
204,norman wells,75,CA,1554254520,66,65.28,-126.83,10.4,10.29
205,gbarnga,76,LR,1554255621,94,7.0,-9.47,71.93,3.02
206,kavaratti,12,IN,1554255623,100,10.57,72.64,84.17,9.06
207,yellowknife,40,CA,1554255125,55,62.45,-114.38,10.4,13.87
208,geraldton,90,CA,1554254280,100,49.72,-86.95,28.4,4.7
209,abha,0,SA,1554253200,71,18.22,42.5,60.8,6.93
210,reforma,75,MX,1554252360,11,24.02,-104.65,73.4,16.11
211,dunedin,0,NZ,1554255602,52,-45.87,170.5,60.01,8.99
212,pevek,12,RU,1554255630,79,69.7,170.27,29.81,9.95
213,port-gentil,88,GA,1554255631,98,-0.72,8.78,82.28,1.12
214,dabat,0,ET,1554255633,58,12.98,37.77,44.57,1.9
215,gwembe,32,ZM,1554255634,66,-16.5,27.61,72.74,11.18
216,troitskoye,36,RU,1554255635,68,52.98,84.68,39.71,4.14
217,diu,0,IN,1554255636,58,20.71,70.98,78.77,3.91
218,luderitz,0,NA,1554255547,90,-26.65,15.16,55.82,6.49
219,rio grande,8,BR,1554255577,84,-32.03,-52.1,72.47,9.4
220,viedma,0,AR,1554255372,80,-40.81,-62.99,51.59,3.58
221,tuktoyaktuk,40,CA,1554249600,70,69.44,-133.03,-2.21,11.41
222,berlevag,80,NO,1554255642,100,70.86,29.09,25.58,3.36
223,cascais,20,PT,1554255643,81,38.7,-9.42,55.4,8.05
224,kaitangata,0,NZ,1554255434,55,-46.28,169.85,59.0,7.0
225,ashcroft,20,AU,1554255636,60,-33.91,150.9,79.0,9.17
226,yarmouth,12,GB,1554255617,100,50.71,-1.5,36.0,1.12
227,gat,24,SN,1554253200,68,14.69,-16.54,68.0,24.16
228,havre-saint-pierre,20,CA,1554253200,79,50.23,-63.6,28.4,8.05
229,karatu,64,TZ,1554255651,100,-3.34,35.67,63.38,5.14
230,sheridan,75,US,1554255629,65,39.65,-105.03,52.0,5.82
231,redcar,40,GB,1554255608,93,54.62,-1.06,36.0,12.75
232,yerbogachen,80,RU,1554255414,71,61.28,108.01,30.89,6.49
233,kimbe,32,PG,1554255655,100,-5.56,150.15,80.93,1.9
234,valdivia,0,CL,1554253200,81,-39.81,-73.25,53.6,3.36
235,svetlogorsk,90,RU,1554253200,84,53.14,59.15,33.8,20.13
236,yumen,24,CN,1554255659,41,40.29,97.04,53.57,2.91
237,hope,1,CA,1554253200,24,49.38,-121.43,68.0,6.93
238,plettenberg bay,64,ZA,1554255661,100,-34.05,23.37,62.21,13.42
239,bethel,1,US,1554252960,52,60.79,-161.76,46.4,11.41
240,salinopolis,80,BR,1554255664,100,-0.61,-47.36,80.48,9.62
241,caravelas,0,BR,1554255159,100,-17.73,-39.27,80.84,7.38
242,kutum,0,SD,1554255668,32,14.2,24.66,54.65,6.6
243,mugur-aksy,24,RU,1554255575,82,50.38,90.44,34.13,2.57
244,bratsk,75,RU,1554253471,58,56.15,101.63,35.01,22.37
245,araouane,0,ML,1554255671,32,18.9,-3.53,77.6,11.63
246,saint-louis,92,CH,1554255617,76,47.59,7.56,53.6,3.36
247,topchikha,0,RU,1554253200,71,52.82,83.12,32.0,6.71
248,brae,92,GB,1554254400,93,60.4,-1.35,41.0,27.51
249,padang,0,ID,1554255676,100,-0.92,100.36,83.36,5.59
250,adrar,0,DZ,1554249600,28,27.87,-0.29,71.6,5.82
251,duncan,1,US,1554255527,39,34.5,-97.96,66.2,12.75
252,hays,1,US,1554255080,50,38.88,-99.33,51.8,9.17
253,puerto del rosario,0,ES,1554253200,82,28.5,-13.86,66.2,12.75
254,bandarbeyla,92,SO,1554255485,100,9.49,50.81,78.5,3.13
255,patiya,40,BD,1554253200,88,22.3,91.98,69.8,4.7
256,paramonga,20,PE,1554255686,97,-10.68,-77.82,67.34,7.49
257,bubaque,0,GW,1554255155,94,11.28,-15.83,80.84,16.33
258,bonavista,0,CA,1554255068,77,48.65,-53.11,32.0,11.99
259,barcelos,0,PT,1554255424,71,41.53,-8.62,53.6,12.75
260,temnikov,0,RU,1554255694,78,54.63,43.21,26.93,9.17
261,san andres,0,PH,1554255695,100,13.32,122.68,81.11,7.94
262,kavieng,36,PG,1554255697,100,-2.57,150.8,81.56,6.49
263,hatillo,40,PR,1554255380,88,18.49,-66.83,79.0,14.65
264,mont-dore,0,NC,1554253200,49,-22.23,166.53,89.6,9.17
265,lavrentiya,0,RU,1554255700,96,65.58,-170.99,29.18,6.38
266,makakilo city,75,US,1554255017,54,21.35,-158.09,82.4,9.17
267,kloulklubed,75,PW,1554252600,74,7.04,134.26,84.2,10.29
268,xining,24,CN,1554255704,32,36.62,101.77,45.38,1.45
269,muroto,20,JP,1554253200,23,33.37,134.14,53.6,10.29
270,ararat,80,AU,1554255116,43,-37.28,142.93,69.01,7.0
271,baghmara,0,IN,1554255710,63,23.8,86.21,76.07,5.59
272,tautira,75,PF,1554255143,66,-17.73,-149.15,87.8,12.75
273,nanortalik,68,GL,1554255712,96,60.14,-45.24,31.25,26.62
274,moose factory,90,CA,1554253200,55,51.26,-80.61,37.4,10.29
275,sosnovo-ozerskoye,76,RU,1554255715,46,52.53,111.54,33.5,9.28
276,poum,48,MK,1554255716,99,41.28,20.71,39.44,1.68
277,ambilobe,0,MG,1554255548,96,-13.19,49.05,69.68,2.91
278,bozuyuk,0,TR,1554254400,93,39.91,30.04,45.0,6.93
279,chanika,80,MW,1554255719,85,-12.93,34.19,71.3,9.17
280,tromso,75,NO,1554255201,74,69.65,18.96,37.4,26.4
281,leningradskiy,20,RU,1554255722,94,69.38,178.42,21.98,21.47
282,dzaoudzi,75,YT,1554253200,79,-12.79,45.27,84.2,12.75
283,bathsheba,75,BB,1554253200,74,13.22,-59.52,78.8,20.8
284,horsham,88,AU,1554255725,64,-36.71,142.2,71.57,6.38
285,gizo,0,IL,1554255707,81,31.8,34.94,52.0,3.36
286,sitka,8,US,1554255006,61,37.17,-99.65,52.0,8.99
287,severo-kurilsk,88,RU,1554255546,90,50.68,156.12,33.68,13.2
288,bay roberts,20,CA,1554255509,74,47.58,-53.28,32.0,16.11
289,saint-pierre,88,FR,1554255461,93,48.95,4.24,43.0,13.87
290,pando,20,UY,1554253200,83,-34.72,-55.96,73.4,20.36
291,tchollire,0,CM,1554255737,79,8.4,14.17,74.18,3.02
292,porto novo,75,BR,1554253200,94,-23.68,-45.44,68.0,4.7
293,kijang,0,KR,1554253200,23,35.24,129.21,51.8,10.29
294,sur,24,OM,1554255741,81,22.57,59.53,80.03,4.7
295,chiang khong,100,LA,1554255694,78,20.27,100.41,77.0,2.24
296,oranjestad,20,AW,1554253200,78,12.52,-70.03,78.8,14.99
297,aitape,36,PG,1554255745,83,-3.15,142.36,85.97,8.16
298,hovd,0,NO,1554255317,52,63.83,10.7,41.0,17.22
299,arlit,0,NE,1554255748,35,18.74,7.39,72.56,4.59
300,russell,0,AR,1554253200,57,-33.01,-68.8,75.2,2.24
301,fukue,20,JP,1554255596,39,35.03,136.69,54.0,19.46
302,amapa,40,HN,1554253200,78,15.09,-87.97,80.6,11.41
303,fort nelson,90,CA,1554253200,64,58.81,-122.69,32.0,4.7
304,ipixuna,75,BR,1554253200,88,-1.76,-48.8,78.8,4.7
305,isangel,75,VU,1554253200,62,-19.55,169.27,89.6,13.87
306,san pedro,8,AR,1554255759,84,-33.68,-59.66,73.73,10.96
307,lazaro cardenas,40,MX,1554252300,13,28.39,-105.62,77.0,10.29
308,palana,88,RU,1554255762,68,59.08,159.95,36.65,11.18
309,cam ranh,20,VN,1554253200,62,11.92,109.15,87.8,4.7
310,challans,92,FR,1554255726,86,46.85,-1.88,43.0,14.99
311,vila franca do campo,75,PT,1554255624,87,37.72,-25.43,55.0,14.99
312,port hedland,90,AU,1554253200,100,-20.31,118.58,78.8,6.93
313,vouliagmeni,20,GR,1554255665,37,37.81,23.78,55.99,17.22
314,arcachon,92,FR,1554255650,81,44.65,-1.18,48.2,11.41
315,fort myers beach,75,US,1554255561,73,26.45,-81.95,73.4,8.05
316,alice springs,0,AU,1554253200,22,-23.7,133.88,75.2,14.99
317,lieksa,12,FI,1554255773,79,63.32,30.02,27.56,7.27
318,pahrump,40,US,1554255544,19,36.21,-115.98,71.01,28.86
319,qixingtai,92,CN,1554255775,78,30.41,111.89,60.05,4.81
320,ternate,20,PH,1554255571,51,14.29,120.72,89.01,9.17
321,komsomolskiy,88,RU,1554255778,93,67.55,63.78,24.32,20.02
322,egvekinot,32,RU,1554255779,91,66.32,-179.17,25.31,3.69
323,alakurtti,80,RU,1554255310,79,66.96,30.34,28.99,4.0
324,necochea,0,AR,1554254890,47,-38.55,-58.74,57.0,1.99
325,douglas,1,US,1554255778,14,31.34,-109.55,71.6,20.8
326,tommot,92,RU,1554255785,79,58.97,126.27,28.73,3.58
327,tilichiki,64,RU,1554255614,85,60.47,166.1,35.57,14.88
328,bereda,92,ES,1554255605,93,43.27,-7.54,51.01,5.82
329,suntar,44,RU,1554255790,65,62.16,117.65,35.39,5.14
330,riyadh,0,SA,1554253200,55,24.63,46.72,60.8,3.36
331,istiaia,0,GR,1554255604,86,38.96,23.15,55.0,4.7
332,tomatlan,8,MX,1554255793,86,19.93,-105.25,66.17,2.68
333,wadi musa,56,JO,1554255795,79,30.32,35.48,44.66,1.9
334,kawalu,20,ID,1554255796,83,-7.38,108.21,74.99,2.46
335,khandagayty,20,MN,1554255797,67,50.73,92.07,40.88,1.9
336,katsuura,20,JP,1554255252,46,33.93,134.5,50.0,9.17
337,coihaique,0,CL,1554253200,58,-45.58,-72.07,53.6,6.93
338,xam nua,36,LA,1554255801,91,20.42,104.04,68.78,2.57
339,ouesso,32,CG,1554255802,96,1.61,16.05,72.83,2.24
340,gambela,20,ET,1554255803,63,8.25,34.59,63.38,3.24
341,demirci,0,TR,1554255807,89,39.05,28.66,27.38,2.35
342,gamba,0,CN,1554255808,81,28.28,88.52,16.49,3.13
343,namibe,0,AO,1554255809,100,-15.19,12.15,79.22,6.49
344,pauini,32,BR,1554255811,89,-7.71,-67.0,80.3,1.9
345,great yarmouth,12,GB,1554255803,100,52.61,1.73,35.01,5.82
346,narsaq,80,GL,1554252600,87,60.91,-46.05,32.0,9.17
347,marzuq,8,YE,1554255815,87,14.4,46.47,50.33,2.68
348,terrace,75,CA,1554253200,20,54.52,-128.61,62.6,8.05
349,kasempa,8,ZM,1554255818,78,-13.46,25.83,63.56,6.93
350,sao filipe,0,CV,1554255819,99,14.9,-24.5,69.77,14.76
351,gouyave,75,GD,1554253200,94,12.16,-61.73,73.4,11.41
352,chapais,90,CA,1554254760,92,49.78,-74.86,30.2,12.75
353,sorong,36,ID,1554255823,96,-0.86,131.25,84.26,9.95
354,bud,36,NO,1554255128,86,62.91,6.91,39.2,3.36
355,pocao de pedras,36,BR,1554255825,97,-4.67,-44.85,73.73,2.13
356,mengcheng,8,CN,1554255826,65,33.26,116.57,65.72,10.96
357,naze,24,NG,1554255828,92,5.43,7.07,76.52,6.26
358,dwarka,0,IN,1554253200,56,28.58,77.04,68.0,5.14
359,buluang,20,PH,1554253200,62,10.47,123.98,84.2,9.17
360,iralaya,56,HN,1554255831,85,15.0,-83.23,79.85,8.95
361,vinh,32,VN,1554255832,92,18.67,105.69,79.4,3.58
362,ariquemes,56,BR,1554255697,89,-9.91,-63.03,77.42,1.57
363,utinga,40,BR,1554253200,94,-5.82,-35.4,80.6,4.7
364,vaasa,0,FI,1554255765,64,63.1,21.62,35.01,6.93
365,bahia honda,0,CU,1554255838,77,22.9,-83.16,74.72,5.37
366,pisco,0,PE,1554253200,88,-13.71,-76.2,69.8,17.22
367,champerico,20,MX,1554252120,69,16.38,-93.6,73.4,16.11
368,chengde,0,CN,1554255842,22,40.97,117.93,59.87,6.6
369,vestmannaeyjar,0,IS,1554255843,96,63.44,-20.27,32.69,12.08
370,tezu,92,IN,1554255844,90,27.93,96.16,52.49,1.57
371,grand gaube,20,MU,1554253200,83,-20.01,57.66,77.0,7.72
372,garden city,90,US,1554255843,80,40.73,-73.63,45.0,6.93
373,faya,0,SA,1554253200,71,18.39,42.45,60.8,6.93
374,belyy yar,0,RU,1554253200,51,53.6,91.39,37.4,11.18
375,carballo,92,ES,1554255851,93,43.21,-8.69,52.0,5.82
376,poso,32,ID,1554255853,100,-1.4,120.75,81.92,4.14
377,tevriz,68,RU,1554255854,82,57.51,72.4,30.53,3.36
378,ossora,92,RU,1554255856,94,59.24,163.07,33.32,20.24
379,takaka,48,NZ,1554255851,58,-40.86,172.81,66.99,5.99
380,hervey bay,75,AU,1554255628,57,-25.3,152.85,84.0,14.99
381,kenai,1,US,1554255724,56,60.55,-151.26,48.0,5.82
382,novosergiyevka,92,RU,1554255861,94,52.08,53.65,37.28,18.23
383,kalmunai,0,LK,1554255862,80,7.42,81.82,82.1,4.14
384,glens falls,1,US,1554255841,41,43.31,-73.64,46.4,8.05
385,khorramshahr,0,IR,1554253200,55,30.43,48.18,64.4,9.17
386,san cristobal,90,EC,1554255121,87,-0.39,-78.55,57.2,3.36
387,wanning,12,AT,1554255790,61,48.64,13.53,50.0,6.93
