City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bubaque,42,GW,1569609812,78,11.28,-15.83,81.27,7.74
raudeberg,75,NO,1569609813,76,61.99,5.14,60.8,2.24
bangolo,52,CI,1569609814,68,7.01,-7.49,81.99,1.43
lorengau,48,PG,1569609816,82,-2.02,147.27,79.29,7.74
santa rosa,25,AR,1569609819,34,-36.62,-64.29,80.73,24.27
pevek,100,RU,1569609821,95,69.7,170.27,36.99,17.43
mitchell,75,US,1569609823,67,43.71,-98.03,62.01,12.75
torbay,90,CA,1569609824,100,47.66,-52.73,55.99,3.36
dikson,100,RU,1569609827,87,73.51,80.55,34.65,9.33
mehamn,75,NO,1569609828,87,71.03,27.85,44.6,9.17
lompoc,40,US,1569609830,82,34.64,-120.46,71.6,5.59
aksu,90,KZ,1569609831,100,52.04,76.93,46.4,11.18
port arthur,75,US,1569609737,55,29.9,-93.93,87.8,12.75
honiara,20,SB,1569609834,94,-9.43,159.96,75.2,3.36
grand gaube,75,MU,1569609838,73,-20.01,57.66,73.4,12.75
atar,50,MR,1569609839,7,20.52,-13.05,108.09,11.97
bitung,20,ID,1569609841,88,1.44,125.19,73.4,2.24
tyssedal,100,NO,1569609842,93,60.12,6.56,55.99,1.01
narsaq,20,GL,1569609844,40,60.91,-46.05,51.8,3.36
souillac,84,FR,1569609845,77,45.6,-0.6,64.99,6.93
kahului,20,US,1569609671,69,20.89,-156.47,82.4,4.7
longyearbyen,75,NO,1569609848,74,78.22,15.63,28.4,6.93
laguna,40,BZ,1569609849,70,16.17,-88.94,87.8,11.41
mayo,40,CA,1569609851,80,63.59,-135.9,30.2,2.24
havoysund,75,NO,1569609852,100,71.0,24.66,44.6,3.36
camopi,19,GF,1569609854,44,3.17,-52.33,91.35,7.14
santiago,19,PH,1569609855,97,16.69,121.54,72.63,0.58
ust-tsilma,86,RU,1569609856,89,65.44,52.15,34.11,1.61
ilulissat,40,GL,1569609858,34,69.22,-51.1,51.8,17.22
lahaina,20,US,1569609861,65,20.87,-156.68,84.2,5.26
benghazi,0,LY,1569609863,69,32.12,20.07,77.49,11.01
axim,100,GH,1569609865,88,4.87,-2.24,77.49,12.66
saint george,20,GR,1569609867,49,39.45,22.34,71.6,5.82
arlit,0,NE,1569609869,6,18.74,7.39,99.99,9.51
rocha,100,UY,1569609870,63,-34.48,-54.34,61.83,11.27
cherskiy,100,RU,1569609873,79,68.75,161.3,26.91,6.51
ancud,75,CL,1569609874,76,-41.87,-73.83,55.4,19.46
bonthe,30,SL,1569609877,78,7.53,-12.5,80.37,10.58
vao,2,EE,1569609881,93,59.1,26.19,45.09,3.53
talcahuano,90,CL,1569609883,82,-36.72,-73.12,55.4,14.99
takoradi,98,GH,1569609884,88,4.89,-1.75,76.77,7.07
jilin,0,CN,1569609887,81,43.84,126.54,59.13,4.25
yongan,62,CN,1569609888,56,39.7,113.69,56.79,2.86
tuktoyaktuk,90,CA,1569609890,73,69.44,-133.03,35.6,14.99
norman wells,75,CA,1569609728,69,65.28,-126.83,39.2,2.24
vila velha,20,BR,1569609893,62,-3.71,-38.6,84.2,17.22
mezen,95,RU,1569609894,80,65.85,44.24,39.51,5.77
ribeira grande,20,PT,1569609895,88,38.52,-28.7,73.4,10.29
ponta do sol,71,BR,1569609897,52,-20.63,-46.0,78.03,0.85
ust-maya,100,RU,1569609899,90,60.42,134.54,34.83,3.62
aklavik,75,CA,1569609728,81,68.22,-135.01,35.6,2.24
mandalgovi,14,MN,1569609902,77,45.76,106.27,47.07,8.32
ust-karsk,100,RU,1569609904,88,52.71,118.82,52.83,9.35
pechora,97,RU,1569609905,94,65.12,57.16,30.69,4.34
majene,80,ID,1569609906,73,-3.54,118.97,81.27,17.96
rondon,0,BR,1569609908,32,-23.42,-52.77,84.51,4.92
tura,45,RU,1569609909,88,64.27,100.22,26.73,4.97
rawson,100,AR,1569609911,43,-43.3,-65.11,69.75,28.23
port hawkesbury,20,CA,1569609912,77,45.62,-61.36,66.0,20.8
ozinki,99,RU,1569609914,77,51.2,49.73,48.15,15.79
neiafu,75,TO,1569609915,83,-18.65,-173.98,73.4,8.05
erzin,0,TR,1569609916,69,36.95,36.2,77.0,12.75
san cristobal,99,HN,1569609918,55,14.68,-86.92,86.49,0.87
derzhavinsk,15,KZ,1569609919,48,51.1,66.31,42.39,5.75
severomuysk,100,RU,1569609921,93,56.17,113.57,23.13,6.64
bambous virieux,75,MU,1569609922,73,-20.34,57.76,73.4,12.75
sao filipe,0,CV,1569609923,83,14.9,-24.5,78.57,13.27
vostok,0,RU,1569609925,75,46.45,135.83,52.65,5.14
tutoia,0,BR,1569609926,66,-2.76,-42.27,87.8,24.16
kaeng khoi,6,TH,1569609928,79,14.59,101.0,79.0,6.71
kavieng,29,PG,1569609929,74,-2.57,150.8,83.97,11.7
vuktyl,75,RU,1569609933,94,63.86,57.31,29.79,7.9
fort nelson,75,CA,1569609795,78,58.81,-122.69,37.4,4.7
yeppoon,40,AU,1569609936,87,-23.13,150.74,60.8,1.1
dunmore east,20,IE,1569609937,71,52.15,-6.99,59.0,6.93
jiquinlaca,90,HN,1569609939,68,14.0,-88.35,82.53,3.62
quatre cocos,75,MU,1569609940,73,-20.21,57.76,73.4,12.75
gat,81,SN,1569609942,74,14.69,-16.54,93.2,8.05
tasiilaq,75,GL,1569609943,70,65.61,-37.64,44.6,2.24
talnakh,75,RU,1569609944,96,69.49,88.39,33.8,11.18
salinopolis,33,BR,1569609946,80,-0.61,-47.36,80.91,20.29
yarada,75,IN,1569609947,94,17.65,83.27,77.0,2.24
salym,99,RU,1569609949,96,60.06,71.48,34.29,4.83
puerto armuelles,40,PA,1569609950,70,8.27,-82.86,86.0,5.82
lipno,100,PL,1569609951,85,52.85,19.18,60.01,1.99
norsup,85,VU,1569609957,76,-16.07,167.38,75.51,12.82
egvekinot,100,RU,1569609960,99,66.32,-179.17,35.01,3.53
aviles,75,ES,1569609961,82,43.55,-5.92,66.0,6.93
sorland,0,NO,1569609962,81,67.67,12.69,48.2,5.93
millinocket,1,US,1569609964,48,45.66,-68.71,69.01,12.75
kupang,24,ID,1569609967,78,-10.16,123.6,75.2,8.05
gizo,20,IL,1569609968,74,31.8,34.94,80.01,3.36
husavik,1,CA,1569609971,55,50.56,-96.99,51.01,5.01
seoul,75,KR,1569609238,93,37.57,126.98,68.0,2.24
bambanglipuro,82,ID,1569609974,90,-7.95,110.28,75.15,5.41
buala,17,SB,1569609975,80,-8.15,159.59,79.65,5.53
alofi,75,NU,1569609976,73,-19.06,-169.92,73.4,10.29
pedernales,97,EC,1569609978,87,0.07,-80.05,72.63,16.96
trofors,0,NO,1569609979,61,65.54,13.39,55.0,9.17
coihaique,0,CL,1569609981,22,-45.58,-72.07,68.0,5.82
oriximina,6,BR,1569609982,48,-1.77,-55.87,93.51,1.41
korcula,0,HR,1569609983,56,42.96,17.14,68.0,5.82
ahipara,5,NZ,1569609985,100,-35.17,173.16,46.0,13.47
waipawa,0,NZ,1569609986,79,-39.94,176.59,50.0,11.01
bilma,0,NE,1569609988,8,18.69,12.92,94.95,4.97
marquette,90,US,1569609991,93,46.54,-87.4,57.99,11.41
oranjemund,2,ZA,1569609992,57,-28.55,16.43,65.43,6.6
klaksvik,40,FO,1569609993,87,62.23,-6.59,51.8,3.36
tisul,100,RU,1569609995,69,55.76,88.31,38.79,6.89
murdochville,19,CA,1569609997,61,48.96,-65.49,55.89,16.04
adeje,100,NG,1569609999,87,5.68,5.76,77.85,8.08
nuevo progreso,40,US,1569610000,49,26.05,-97.95,96.8,8.05
saint-joseph,0,FR,1569610002,82,43.56,6.97,73.4,3.36
kununurra,75,AU,1569610003,73,-15.77,128.74,73.4,3.11
tarakan,14,ID,1569610005,80,3.3,117.63,78.57,3.67
fort-shevchenko,37,KZ,1569610006,55,44.51,50.26,60.03,17.4
litovko,62,RU,1569610007,98,49.24,135.18,51.57,5.48
goderich,91,CA,1569610009,44,43.74,-81.71,73.0,3.0
kaeo,10,NZ,1569610010,100,-35.1,173.78,50.0,5.41
coxim,22,BR,1569610012,27,-18.5,-54.75,96.03,2.75
qianan,0,CN,1569610013,56,44.99,124.06,62.73,15.14
ponta delgada,20,PT,1569610014,83,37.73,-25.67,73.4,12.75
bima,80,ID,1569610016,97,-8.45,118.73,67.77,2.01
nyuksenitsa,97,RU,1569610017,93,60.41,44.24,36.99,6.4
thinadhoo,80,MV,1569610019,78,0.53,72.93,83.07,12.64
conakry,40,GN,1569610020,78,9.52,-13.7,82.4,2.24
tobetsu,20,JP,1569610022,100,43.26,141.53,48.99,1.12
emerald,6,AU,1569610023,77,-23.53,148.16,62.6,5.82
whitehorse,20,CA,1569609904,69,60.72,-135.06,41.0,3.36
ambovombe,75,MG,1569610026,83,-25.18,46.09,72.81,32.64
salto,0,BR,1569610026,44,-23.2,-47.29,79.0,12.75
saint anthony,20,US,1569610030,71,43.97,-111.68,62.01,6.93
chase,1,US,1569610031,48,38.35,-98.35,90.0,10.29
casper,90,US,1569609945,93,42.87,-106.31,46.0,13.87
sabang,54,PH,1569610034,92,13.8,121.11,79.0,2.33
ola,0,RU,1569610035,53,59.58,151.3,36.27,5.68
nemuro,43,JP,1569610037,84,43.32,145.57,59.67,7.23
port moresby,98,PG,1569610038,89,-9.47,147.16,76.95,20.51
perth,0,AU,1569609761,87,-31.95,115.86,55.99,12.75
lazaro cardenas,20,MX,1569610041,47,28.39,-105.62,80.6,4.7
verkhnyaya inta,92,RU,1569610042,86,65.99,60.32,32.31,5.66
astana,0,KZ,1569610044,86,51.13,71.43,37.4,6.71
coolum beach,55,AU,1569610045,86,-26.53,153.09,66.0,1.86
lagoa,0,PT,1569610047,78,37.14,-8.45,81.0,4.7
jurm,0,AF,1569610048,36,36.86,70.83,54.99,5.17
petropavlovsk-kamchatskiy,45,RU,1569610049,75,53.05,158.65,37.4,6.71
chalmette,0,US,1569610052,52,29.94,-89.96,93.0,8.05
airai,6,TL,1569610054,77,-8.93,125.41,67.77,3.87
lyambir,99,RU,1569610055,80,54.28,45.12,42.75,5.17
chupa,20,PE,1569610056,17,-15.11,-69.99,64.4,11.41
florianopolis,0,BR,1569609908,56,-27.6,-48.55,78.01,23.04
wiang sa,42,TH,1569610059,95,8.64,99.37,74.07,0.96
limerick,40,IE,1569609943,82,52.66,-8.63,55.4,17.22
hami,55,CN,1569610062,24,42.84,93.51,69.75,4.52
daru,100,PG,1569610063,90,-9.07,143.21,74.61,8.25
camacha,75,PT,1569610065,68,33.08,-16.33,71.6,10.29
thunder bay,90,CA,1569609828,71,48.41,-89.26,57.99,12.75
kodiak,75,US,1569610067,55,39.95,-94.76,87.01,13.87
calvinia,0,ZA,1569610069,16,-31.47,19.78,68.31,3.36
capao da canoa,84,BR,1569610076,57,-29.75,-50.01,68.31,10.02
kamina,77,CD,1569610078,58,-8.74,25.0,71.51,4.18
pachmarhi,100,IN,1569610079,93,22.47,78.44,73.31,6.02
lawrenceburg,52,US,1569610082,41,35.24,-87.33,93.2,12.75
banda aceh,10,ID,1569610083,73,5.56,95.32,82.31,2.98
san quintin,0,PH,1569610085,90,17.54,120.52,74.93,3.24
tuatapere,100,NZ,1569610087,76,-46.13,167.69,52.0,8.01
yar-sale,76,RU,1569610089,97,66.83,70.83,31.01,0.69
natal,20,BR,1569609841,62,-5.81,-35.21,84.2,14.99
port hedland,0,AU,1569610092,77,-20.31,118.58,64.4,8.05
sainte-marie,40,CA,1569610093,67,46.45,-71.03,62.01,11.41
shellbrook,90,CA,1569609902,64,53.22,-106.39,39.2,9.17
kruisfontein,28,ZA,1569610097,50,-34.0,24.73,62.33,2.95
kalawit,65,PH,1569610098,88,7.91,122.53,75.11,3.0
balikpapan,72,ID,1569610100,93,-1.24,116.86,71.15,3.53
evensk,91,RU,1569610101,61,61.92,159.24,33.71,7.65
baghdad,0,IQ,1569610103,32,33.3,44.38,80.6,4.7
adrar,40,DZ,1569610104,8,27.87,-0.29,107.6,9.17
ovsyanka,100,RU,1569610105,97,53.58,126.91,52.25,4.94
zhangye,0,CN,1569610107,22,38.94,100.46,59.45,4.38
bonavista,100,CA,1569610108,82,48.65,-53.11,50.0,6.17
richards bay,0,ZA,1569610110,73,-28.77,32.06,65.93,18.84
sinnamary,2,GF,1569610111,75,5.38,-52.96,83.21,16.4
rosetta,40,EG,1569610112,65,31.4,30.42,77.0,9.17
batticaloa,65,LK,1569610114,90,7.71,81.69,75.11,1.81
dingle,78,PH,1569610117,89,11.0,122.67,74.57,1.95
bosaso,66,SO,1569610118,76,11.28,49.18,86.81,13.78
serpneve,34,UA,1569610120,88,46.3,29.02,57.47,4.72
krechevitsy,91,RU,1569610121,91,58.62,31.4,46.31,1.23
auburn,1,US,1569610067,46,44.1,-70.23,73.99,3.11
altay,83,CN,1569610125,61,47.83,88.13,45.05,3.18
shaunavon,97,CA,1569610126,92,49.65,-108.41,38.03,12.82
obidos,20,PT,1569610128,77,39.36,-9.16,71.6,18.34
puerto morazan,40,NI,1569610129,70,12.85,-87.17,87.8,4.7
beloha,90,MG,1569610131,78,-25.17,45.06,72.23,4.27
ouesso,45,CG,1569610133,86,1.61,16.05,72.77,0.96
hobyo,4,SO,1569610135,72,5.35,48.53,77.45,24.0
san miguel,0,AR,1569610136,59,-34.54,-58.72,71.01,13.87
osypenko,0,UA,1569610138,47,48.04,34.39,59.0,3.69
pero pinheiro,20,PT,1569610139,77,38.86,-9.32,73.4,16.11
shingu,56,JP,1569610140,97,33.72,135.99,62.51,5.08
sampit,100,ID,1569610142,97,-2.54,112.95,74.57,1.7
singapore,75,MY,1569610135,83,1.29,103.85,82.4,3.36
cape coast,48,GH,1569610144,88,5.11,-1.24,77.99,13.76
yulara,20,AU,1569610146,31,-25.24,130.99,60.8,3.36
hirara,87,JP,1569610149,86,24.8,125.28,81.05,15.01
tupiza,100,BO,1569610150,7,-21.44,-65.72,69.89,7.58
sawakin,0,SD,1569610152,43,19.1,37.33,85.19,3.65
biak,96,ID,1569610153,98,-0.91,122.88,59.99,3.38
touros,40,BR,1569609951,61,-5.2,-35.46,82.4,13.87
laurel,1,US,1569609893,36,39.1,-76.85,82.0,6.93
leh,97,IN,1569610157,38,34.16,77.58,43.97,4.0
gairo,97,TZ,1569610158,67,-6.14,36.87,66.65,9.13
manacapuru,40,BR,1569610160,83,-3.3,-60.62,75.2,5.82
puerto carreno,40,CO,1569610156,55,6.19,-67.49,91.4,4.7
dalvik,75,SE,1569610163,100,57.79,14.13,55.99,6.93
metro,34,ID,1569610164,86,-5.11,105.31,74.03,4.21
marzuq,83,YE,1569610167,51,14.4,46.47,77.63,4.9
ekibastuz,100,KZ,1569610168,87,51.72,75.32,44.87,14.05
puerto quijarro,0,BO,1569610169,40,-19.0,-57.72,95.0,6.93
erftstadt,40,DE,1569610171,77,50.82,6.77,63.0,4.7
rafsanjan,18,IR,1569610172,15,30.4,55.99,66.47,3.06
la grande,1,US,1569610174,58,45.32,-118.09,66.0,10.02
coquimbo,40,CL,1569610175,63,-29.95,-71.34,60.8,9.17
luganville,97,VU,1569610176,93,-15.51,167.18,68.27,3.96
hamilton,75,CA,1569610168,52,43.26,-79.87,73.99,14.99
nurota,0,UZ,1569610179,23,40.56,65.69,77.0,9.17
viedma,100,AR,1569610181,30,-40.81,-62.99,76.37,23.47
jitra,75,MY,1569610182,94,6.27,100.42,77.0,2.24
wilmington,1,US,1569610158,29,39.75,-75.55,80.01,8.05
boende,100,CD,1569610186,67,-0.28,20.88,77.99,1.54
praia,40,BR,1569610188,45,-20.25,-43.81,82.4,4.7
fare,36,PF,1569610189,85,-16.7,-151.02,77.81,10.98
kirakira,36,SB,1569610190,85,-10.46,161.92,77.09,4.94
batagay-alyta,100,RU,1569610192,73,67.8,130.41,18.59,5.21
brewster,75,US,1569610193,68,41.76,-70.08,72.0,4.7
nikitinskiy,75,RU,1569610195,100,45.0,37.87,59.0,4.47
yinchuan,0,CN,1569610196,42,38.48,106.21,63.05,3.0
fukue,40,JP,1569610198,78,35.03,136.69,73.4,6.93
rehoboth,61,NA,1569610199,7,-23.31,17.08,63.05,8.81
przhevalskoye,0,RU,1569610200,81,55.51,31.85,41.45,1.61
balkanabat,0,TM,1569610203,49,39.51,54.36,75.11,5.19
namie,69,JP,1569610205,68,37.52,140.86,63.0,4.76
